File: trkwebctrl
Build ID: eb53bae02d1c0cebf181d6aa585422bdebdd5c7b
Type: inuse_space
Time: Jul 11, 2023 at 12:49pm (MSK)
Showing nodes accounting for 702.15MB, 95.43% of 735.78MB total
Dropped 124 nodes (cum <= 3.68MB)
         0     0% 95.43%    30.35MB  4.12%  lab.altkraft.com/altkraft/ledisdb/store/goleveldb.(*DB).Get
         0     0% 95.43%     8.27MB  1.12%  lab.altkraft.com/altkraft/ledisdb/store/goleveldb.(*Iterator).Seek
         0     0% 95.43%     4.69MB  0.64%  lab.altkraft.com/altkraft/ledisdb/store/goleveldb.(*WriteBatch).Commit
         0     0% 95.43%   519.64MB 70.62%  main.main
         0     0% 95.43%   508.19MB 69.07%  marketingPlatform/ak/control/filecache.NewFileCache
         0     0% 95.43%   519.64MB 70.62%  marketingPlatform/ak/daemonize.(*Daemonizer).Daemonize
         0     0% 95.43%   135.11MB 18.36%  marketingPlatform/ak/proc/procrpc/rpccodecs.(*SegmentioCodec).Decode
         0     0% 95.43%     9.78MB  1.33%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).Init
         0     0% 95.43%   509.86MB 69.29%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).Run
         0     0% 95.43%    48.88MB  6.64%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).popupContent
         0     0% 95.43%    50.43MB  6.85%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.syncReq.func2
         0     0% 95.43%   508.19MB 69.07%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/enrichment_service.NewEnrichmentService
         0     0% 95.43%    43.30MB  5.89%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).RestoreAcidProccesing
         0     0% 95.43%    20.37MB  2.77%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidByClientFPrint
         0     0% 95.43%     8.27MB  1.12%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidByServerFPrint
         0     0% 95.43%    20.37MB  2.77%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidFromCache
         0     0% 95.43%     8.27MB  1.12%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidFromCacheByServerFP
         0     0% 95.43%    14.67MB  1.99%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).overwriteAcid
         0     0% 95.43%    14.67MB  1.99%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).setAcidToCache
         0     0% 95.43%     6.77MB  0.92%  marketingPlatform/ak/rmq/publisher.NewPublisher (inline)
         0     0% 95.43%     6.77MB  0.92%  marketingPlatform/ak/rmq/publisher.configurePublisher
         0     0% 95.43%    50.43MB  6.85%  marketingPlatform/ak/tools/ginlogger.middleware.func1
         0     0% 95.43%    16.82MB  2.29%  net/http.(*conn).serve
         0     0% 95.43%    11.80MB  1.60%  net/http.serverHandler.ServeHTTP
         0     0% 95.43%     8.79MB  1.19%  runtime.doInit
         0     0% 95.43%     4.39MB   0.6%  runtime/pprof.(*profileBuilder).addCPUData
         0     0% 95.43%     4.39MB   0.6%  runtime/pprof.profileWriter
